ID,Gender_Code,Region,Income,Spending
1,Female,Rural,20,15
2,Male,Rural,5,12
3,Female,Urban,28,18
4,Male,Urban,40,10
5,Male,Urban,42,9
6,Male,Rural,13,14
7,Male,Urban,31,10
8,Male,Rural,18,9
9,Male,Rural,23,12
10,Female,Rural,19,20
11,Male,Rural,15,5
12,Female,Urban,29,13
13,Female,Urban,40,8
14,Male,Urban,32,9
15,Female,Rural,9,10
16,,Urban,36,18
17,Female,Urban,30,13
18,Female,Rural,12,19
19,Female,Urban,45,10
20,Male,Rural,19,9
21,Male,,23,11
22,Female,Rural,21,12
23,Male,Urban,33,16
24,Male,Urban,44,9
25,Female,Rural,21,11
26,Female,,11,20
27,Female,Rural,13,5
28,Female,Urban,25,5
29,,Urban,37,17
30,Female,Rural,19,18
31,Female,Urban,36,8
32,Female,Rural,22,6
33,Female,Urban,47,18
34,Male,Rural,6,6
35,Male,Rural,21,12
36,Female,Rural,14,18
37,Female,Urban,27,7
38,Male,Rural,13,9
39,Female,Urban,31,20
40,Male,Urban,26,18
41,Male,Rural,8,14
42,Male,Rural,15,16
43,Male,Urban,45,10
44,Female,Urban,32,16
45,Male,Rural,12,15
46,Male,Urban,36,9
47,Female,Urban,38,18
48,,Rural,10,8
49,Male,Urban,50,5
50,Male,Urban,34,9
51,Female,Rural,24,11
52,Male,,8,14
53,Female,Rural,24,20
54,Male,Urban,50,8
55,Female,Urban,35,9
56,Female,Urban,,14
57,Male,Urban,48,9
58,Female,Rural,10,15
59,Female,Urban,27,11
60,Male,Urban,35,5
61,Female,,26,16
62,Male,Urban,46,6
63,Male,Urban,46,5
64,Female,Rural,14,11
65,Male,Urban,36,
66,Male,Rural,18,15
67,Male,Urban,30,13
68,Female,Rural,20,13
69,Female,Rural,16,10
70,,Rural,7,19
71,Male,Rural,,6
72,Male,Rural,7,11
73,Female,Urban,28,10
74,Male,Urban,26,12
75,Female,Urban,37,10
76,Male,Rural,14,10
77,Male,Rural,16,9
78,Male,Rural,6,
79,Male,Rural,20,5
80,Male,Urban,37,18
81,Female,Rural,13,11
82,Male,Urban,49,20
83,Female,Urban,36,5
84,Male,Rural,16,7
85,Female,Rural,8,14
86,Female,Urban,45,15
87,Male,Rural,7,5
88,Male,Rural,7,15
89,Male,Rural,24,13
90,Female,Urban,31,11
91,Female,Urban,34,
92,Male,Urban,,18
93,Male,Urban,29,6
94,Female,Urban,42,18
95,Male,Urban,48,7
96,Male,Rural,25,5
97,Male,Urban,35,8
98,Male,Urban,44,8
99,Female,Rural,25,17
100,Male,Urban,37,
101,Female,Rural,14,14
102,Male,Urban,,16
103,Male,Rural,11,16
104,Female,Rural,8,10
105,Male,Rural,22,19
106,,Urban,42,12
107,Male,Urban,25,10
108,Male,Rural,24,5
109,Male,Rural,24,8
110,Female,,44,7
111,Female,Rural,9,10
112,Female,Urban,41,8
113,Female,Urban,,11
114,Male,Rural,19,14
115,Male,Rural,14,9
116,Female,Rural,7,12
117,Male,Urban,45,7
118,Female,Rural,14,17
119,Female,Urban,49,8
120,Female,Rural,11,9
121,Male,Rural,7,11
122,Female,Urban,40,7
123,Female,Rural,25,18
124,Male,Urban,32,17
125,Female,Rural,24,5
126,Male,Rural,25,7
127,Male,Urban,33,5
128,Female,Rural,25,19
129,Female,Rural,24,12
130,Female,Urban,26,10
131,Male,Urban,33,17
132,Male,Urban,41,18
133,Male,Urban,39,10
134,Male,Rural,19,15
135,Female,Rural,11,8
136,Female,Rural,5,5
137,Male,Rural,9,8
138,Male,Rural,8,8
139,Male,Urban,33,11
140,Male,Rural,21,6
141,Male,Urban,44,20
142,Female,Rural,10,7
143,Female,Urban,46,13
144,Male,Urban,48,8
145,Male,Urban,25,7
146,Female,Urban,31,9
147,Female,Urban,29,5
148,Male,Urban,35,5
149,Male,Urban,41,10
150,Female,Urban,37,18
151,Male,Rural,14,6
152,Female,Urban,34,8
153,Male,Rural,5,6
154,Female,Rural,7,15
155,Male,Urban,35,7
156,Male,Urban,47,16
157,Female,Urban,34,10
158,Male,Urban,34,20
159,Female,Urban,27,10
160,Male,Rural,21,6
161,Male,Rural,9,10
162,Male,Urban,31,10
163,Male,Rural,17,6
164,Female,Urban,25,13
165,Female,Rural,12,7
166,Male,Urban,39,16
167,Male,Urban,49,9
168,Male,Urban,41,19
169,Female,Rural,14,7
170,Male,Urban,28,18
171,Female,Rural,21,17
172,Female,Urban,43,6
173,Female,Rural,20,17
174,Female,Rural,13,7
175,Female,Rural,14,9
176,Male,Urban,26,8
177,Female,Rural,13,10
178,Male,Urban,32,15
179,Female,Urban,38,5
180,Female,Urban,40,6
181,Female,Urban,47,9
182,Female,Urban,47,18
183,Male,Urban,29,10
184,Male,Rural,20,13
185,Male,Rural,12,7
186,Female,Rural,12,5
187,Female,Urban,39,20
188,Male,Urban,42,11
189,Male,Rural,25,12
190,Male,Urban,34,13
191,Male,Urban,34,6
192,Female,Urban,49,14
193,Male,Rural,14,17
194,Female,Urban,40,20
195,Male,Urban,26,7
196,Male,Urban,27,7
197,Female,Urban,26,10
198,Male,Urban,31,10
199,Male,Urban,39,18
200,Female,Urban,43,20
201,Male,Urban,37,6
202,Female,Urban,26,10
203,Male,Rural,18,10
204,Female,Urban,32,8
205,Female,Rural,8,17
206,Female,Rural,11,10
207,Male,Rural,9,13
208,Male,Urban,26,17
209,Male,Urban,47,13
210,Male,Urban,39,15
211,Female,Rural,15,20
212,Male,Rural,25,7
213,Male,Urban,28,18
214,Male,Rural,10,9
215,Male,Rural,17,5
216,Male,Urban,28,6
217,Male,Rural,24,5
218,Male,Rural,21,5
219,Male,Rural,8,10
220,Male,Rural,17,14
221,Male,Rural,25,7
222,Female,Rural,25,6
223,Female,Urban,43,8
224,Male,Urban,37,10
225,Female,Rural,20,7
226,Female,Rural,8,16
227,Male,Urban,43,7
228,Male,Rural,23,19
229,Female,Urban,32,8
230,Female,Urban,43,13
231,Female,Rural,21,10
232,Female,Rural,12,7
233,Male,Urban,50,17
234,Male,Rural,25,15
235,Female,Rural,5,16
236,Male,Rural,23,5
237,Female,Urban,48,6
238,Male,Urban,45,19
239,Female,Rural,13,5
240,Male,Urban,44,20
241,Female,Urban,32,12
242,Female,Urban,34,19
243,Female,Urban,49,5
244,Male,Rural,8,8
245,Female,Rural,12,14
246,Female,Urban,43,9
247,Male,Urban,30,8
248,Female,Rural,16,18
249,Female,Rural,25,5
250,Female,Rural,20,9
251,Male,Urban,31,5
252,Male,Urban,43,20
253,Female,Rural,5,14
254,Male,Urban,45,8
255,Male,Urban,47,18
256,Female,Urban,42,10
257,Female,Rural,10,17
258,Female,Rural,20,17
259,Female,Urban,29,20
260,Male,Rural,11,6
261,Female,Rural,13,7
262,Female,Rural,18,16
263,Male,Urban,25,9
264,Male,Rural,22,19
265,Male,Rural,5,6
266,Male,Urban,43,15
267,Female,Urban,48,10
268,Male,Urban,34,9
269,Female,Rural,13,15
270,Female,Rural,11,8
271,Female,Rural,21,7
272,Female,Urban,26,11
273,Male,Rural,17,16
274,Female,Rural,18,19
275,Female,Rural,9,8
276,Female,Rural,19,14
277,Male,Urban,42,10
278,Female,Rural,8,19
279,Female,Urban,25,17
280,Male,Rural,12,17
281,Female,Rural,10,19
282,Male,Urban,47,5
283,Male,Rural,9,11
284,Female,Urban,27,8
285,Female,Rural,20,8
286,Female,Urban,32,7
287,Male,Urban,43,8
288,Female,Urban,34,5
289,Male,Rural,24,11
290,Male,Urban,44,8
291,Male,Rural,15,6
292,Female,Urban,39,12
293,Male,Rural,20,9
294,Female,Urban,43,6
295,Female,Urban,25,16
296,Female,Urban,26,19
297,Female,Rural,13,10
298,Female,Rural,16,16
299,Male,Rural,15,16
300,Female,Urban,47,12
301,Male,Rural,7,12
302,Female,Rural,15,13
303,Female,Rural,23,13
304,Male,Rural,15,9
305,Male,Urban,45,10
306,Female,Rural,25,8
307,Male,Urban,47,17
308,Female,Urban,27,9
309,Male,Urban,43,9
310,Male,Urban,30,7
311,Female,Rural,23,17
312,Male,Urban,39,5
313,Female,Rural,18,9
314,Female,Rural,7,7
315,Male,Rural,23,12
316,Female,Urban,46,19
317,Female,Rural,6,18
318,Female,Rural,5,11
319,Male,Urban,31,20
320,Female,Urban,46,16
321,Male,Urban,38,8
322,Female,Urban,49,9
323,Male,Rural,8,8
324,Male,Urban,49,9
325,Male,Rural,8,18
326,Male,Rural,9,16
327,Male,Urban,47,9
328,Female,Rural,10,16
329,Female,Rural,10,5
330,Female,Urban,49,8
331,Female,Urban,46,6
332,Female,Urban,41,18
333,Male,Urban,27,9
334,Male,Rural,20,18
335,Female,Urban,34,11
336,Male,Rural,13,15
337,Female,Urban,46,6
338,Male,Rural,23,15
339,Male,Rural,18,15
340,Male,Urban,50,20
341,Female,Rural,13,10
342,Female,Urban,32,11
343,Male,Urban,29,5
344,Male,Rural,16,16
345,Male,Rural,12,10
346,Male,Rural,15,10
347,Male,Rural,10,9
348,Female,Rural,12,7
349,Male,Urban,39,13
350,Female,Urban,49,17
351,Male,Rural,16,15
352,Male,Rural,24,8
353,Female,Rural,20,6
